City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Bredasdorp,-34.53,20.04,48.2,87,49,2.24,ZA,1602645510
Cape Town,-33.93,18.42,53.51,76,0,6.93,ZA,1602645533
New Norfolk,-42.78,147.06,62.94,42,91,4.0,AU,1602645533
Albany,42.6,-73.97,51.53,74,38,5.01,US,1602645533
Rikitea,-23.12,-134.97,73.56,75,73,16.75,PF,1602645512
Yellowknife,62.46,-114.35,24.57,62,90,24.16,CA,1602645302
Puerto Ayora,-0.74,-90.35,67.98,90,48,6.33,EC,1602645410
Qaanaaq,77.48,-69.36,22.93,77,14,6.8,GL,1602645534
Salalah,17.02,54.09,75.2,69,0,3.36,OM,1602645534
Hervey Bay,-25.3,152.85,79.43,39,40,21.92,AU,1602645535
Port Hawkesbury,45.62,-61.35,50.09,93,90,12.75,CA,1602645535
Ushuaia,-54.8,-68.3,37.4,93,75,17.22,AR,1602645533
Camabatela,-8.19,15.38,62.78,100,85,4.36,AO,1602645535
Avarua,-21.21,-159.78,73.4,56,65,6.93,CK,1602645514
Yerbogachën,61.28,108.01,27.27,90,99,10.42,RU,1602645536
Kaitangata,-46.28,169.85,46.99,64,91,8.01,NZ,1602645536
Pilar,-9.6,-35.96,71.6,88,4,3.36,BR,1602645536
Fairbanks,64.84,-147.72,25.68,46,1,3.36,US,1602645273
Salé,34.04,-6.82,53.92,100,97,4.43,MA,1602645533
Amasya Province,40.67,35.83,50.0,57,0,2.44,TR,1602645537
Zhireken,52.82,117.31,29.25,73,5,5.95,RU,1602645537
Karpogory,64.0,44.45,36.46,85,74,7.47,RU,1602645537
Noumea,-22.28,166.46,84.2,54,27,12.75,NC,1602645537
Port Elizabeth,-33.92,25.57,51.8,81,24,6.93,ZA,1602645538
Dawei,14.08,98.2,77.52,88,100,4.29,MM,1602645538
Ponta do Sol,32.67,-17.1,68.77,68,20,14.99,PT,1602645538
Qaqortoq,60.72,-46.03,35.6,80,97,3.36,GL,1602645538
Rundu,-17.93,19.77,64.24,40,0,5.37,NA,1602645538
Krasnovishersk,60.41,57.08,46.44,94,100,8.59,RU,1602645539
Tiznit Province,29.58,-9.5,62.47,34,0,1.88,MA,1602645539
Chokurdakh,70.63,147.92,19.9,95,56,2.71,RU,1602645539
Atuona,-9.8,-139.03,78.22,75,100,18.66,PF,1602645539
Arraial do Cabo,-22.97,-42.03,73.18,88,13,28.9,BR,1602645539
Inhambane,-23.86,35.38,67.64,86,0,4.5,MZ,1602645540
Peniche,39.36,-9.38,58.32,76,94,7.0,PT,1602645540
Nanortalik,60.14,-45.24,37.44,92,100,9.46,GL,1602645540
Amapá,1.0,-52.0,74.64,81,17,4.45,BR,1602645540
San Buenaventura,27.08,-101.53,80.01,50,15,1.99,MX,1602645540
Madaoua,14.07,5.96,86.31,31,10,6.26,NE,1602645541
Anjozorobe,-18.4,47.87,60.8,87,20,3.36,MG,1602645541
Luena,-11.78,19.92,68.0,70,97,3.47,AO,1602645541
Punta Arenas,-53.15,-70.92,41.0,75,75,34.45,CL,1602645370
Murgab,37.5,61.97,46.4,65,0,3.62,TM,1602645542
Sechura,-5.56,-80.82,66.02,78,15,10.02,PE,1602645542
Codrington,-38.27,141.97,68.0,63,100,3.56,AU,1602645542
Hermanus,-34.42,19.23,48.0,89,90,1.99,ZA,1602645542
Kuala Terengganu,5.33,103.14,84.11,79,20,2.24,MY,1602645543
Mataura,-46.19,168.86,48.99,56,51,11.99,NZ,1602645511
Japura,-0.32,102.35,83.23,72,100,2.24,ID,1602645324
Chui,-33.7,-53.46,52.12,96,0,3.13,UY,1602645543
Bluff,-46.6,168.33,48.99,56,70,11.99,NZ,1602645544
Burley,42.54,-113.79,57.2,58,40,9.17,US,1602645544
Vaini,-21.2,-175.2,77.0,65,75,9.17,TO,1602645544
Hobart,-42.88,147.33,64.08,48,20,12.75,AU,1602645394
George Town,5.41,100.34,83.86,74,20,3.36,MY,1602645545
Garden City,42.33,-83.33,54.84,50,20,9.17,US,1602645545
Arroyo de la Encomienda,41.61,-4.8,42.58,86,8,8.05,ES,1602645545
Busselton,-33.65,115.33,67.71,41,25,12.03,AU,1602645545
Kavieng,-2.57,150.8,82.26,76,100,7.54,PG,1602645545
Port Alfred,-33.59,26.89,54.39,79,7,12.48,ZA,1602645546
Ucluelet,48.93,-125.55,54.0,86,26,1.01,CA,1602645292
Porto Velho,-8.76,-63.9,73.4,94,75,2.24,BR,1602645546
Itarema,-2.92,-39.92,77.67,80,22,15.05,BR,1602645546
Guerrero Negro,27.98,-114.06,81.23,53,100,2.57,MX,1602645546
Mar del Plata,-38.0,-57.56,57.07,93,0,5.82,AR,1602645425
Saint-Philippe,-21.36,55.77,69.62,69,75,4.7,RE,1602645547
Taldan,53.67,124.8,30.36,75,0,10.42,RU,1602645547
Ancud,-41.87,-73.82,40.89,87,3,5.82,CL,1602645513
Longyearbyen,78.22,15.64,35.6,69,75,20.8,SJ,1602645547
Kruisfontein,-34.0,24.73,48.99,87,39,1.01,ZA,1602645547
Lebu,-37.62,-73.65,51.24,92,1,18.75,CL,1602645548
Tura,25.52,90.22,83.89,69,0,0.98,IN,1602645548
Saskylakh,71.92,114.08,11.95,94,1,2.84,RU,1602645548
Bajil,15.06,43.29,84.36,70,1,2.89,YE,1602645548
