City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Cabo San Lucas,22.89,-109.91,87.48,58,40,12.75,MX,1602624112
Yulara,-25.24,130.99,60.8,29,0,9.17,AU,1602624253
Lorengau,-2.02,147.27,81.43,81,100,5.61,PG,1602624253
Vestmanna,62.16,-7.17,44.6,93,34,3.06,FO,1602624253
Hermanus,-34.42,19.23,48.0,88,0,10.92,ZA,1602624254
Port-Gentil,-0.72,8.78,78.8,83,90,12.75,GA,1602624254
Atbasar,51.8,68.33,46.78,53,93,3.83,KZ,1602624254
Punta Arenas,-53.15,-70.92,41.52,80,90,38.03,CL,1602623974
Busselton,-33.65,115.33,57.47,78,56,13.67,AU,1602624255
Hobart,-42.88,147.33,44.04,87,20,8.05,AU,1602624039
Port Alfred,-33.59,26.89,57.61,75,1,12.97,ZA,1602624255
Atuona,-9.8,-139.03,78.17,74,7,19.06,PF,1602624255
Cherskiy,68.75,161.3,32.7,90,100,12.91,RU,1602624256
Bethel,41.37,-73.41,55.56,87,90,5.82,US,1602624256
Laguna,38.42,-121.42,87.42,23,1,5.82,US,1602624256
Ushuaia,-54.8,-68.3,44.6,65,40,5.82,AR,1602624088
Tuktoyaktuk,69.45,-133.04,23.0,73,90,5.82,CA,1602624257
Albany,42.6,-73.97,53.31,88,100,3.98,US,1602624257
Walla Walla,46.06,-118.34,64.6,72,40,19.46,US,1602624188
Nishiwaki,34.98,134.97,58.05,88,20,6.93,JP,1602624257
Puchezh,56.98,43.17,52.25,91,94,7.92,RU,1602624258
Tiksi,71.69,128.87,10.78,95,10,4.74,RU,1602624258
Quetta,30.2,67.01,46.62,43,0,0.89,PK,1602624150
Samarai,-10.62,150.67,80.15,85,100,16.93,PG,1602624258
Khoy,38.55,44.95,59.23,35,0,0.81,IR,1602624259
Colombo,6.93,79.85,82.4,83,40,10.29,LK,1602624259
Philadelphia,39.95,-75.16,63.01,77,90,9.17,US,1602624103
Samandağ,36.08,35.98,75.2,60,75,10.29,TR,1602624259
Canton of Neuchâtel,46.92,6.83,42.75,93,75,2.24,CH,1602624260
Hambantota,6.12,81.12,77.0,100,40,6.93,LK,1602624260
Sitka,57.05,-135.33,48.2,70,20,2.82,US,1602624260
New Norfolk,-42.78,147.06,43.56,71,31,1.01,AU,1602624260
Lompoc,34.64,-120.46,81.93,42,1,17.22,US,1602624261
Salalah,17.02,54.09,80.6,83,1,2.24,OM,1602624261
Nome,64.5,-165.41,26.96,68,1,2.68,US,1602624261
Banda Aceh,5.56,95.32,81.27,66,89,7.7,ID,1602624261
Redcliffe,-27.23,153.1,64.81,82,75,8.05,AU,1602624261
Carnarvon,-24.87,113.63,66.2,88,40,14.99,AU,1602624262
Aklavik,68.22,-135.01,23.0,57,90,3.36,CA,1602624003
Anadyr,64.75,177.48,28.18,86,75,2.24,RU,1602624004
Khatanga,71.97,102.5,10.63,96,37,7.2,RU,1602624262
San Buenaventura,27.08,-101.53,91.0,34,1,3.0,MX,1602624262
Mchinji,-13.8,32.88,66.11,85,20,4.14,MW,1602624263
Vardø,70.37,31.11,33.8,79,40,10.29,NO,1602624263
Severo-Kuril'sk,50.68,156.12,50.65,89,100,28.99,RU,1602624263
Faanui,-16.48,-151.75,78.3,77,0,11.1,PF,1602624263
Cape Town,-33.93,18.42,56.79,67,14,14.99,ZA,1602624005
Barrow,71.29,-156.79,26.6,53,90,16.11,US,1602624264
Ulladulla,-35.35,150.47,57.04,93,75,5.82,AU,1602624264
Boa Vista,2.82,-60.67,91.4,46,40,10.29,BR,1602624264
Pevek,69.7,170.31,27.64,85,84,11.03,RU,1602624264
Omsukchan,62.53,155.8,31.23,96,100,7.14,RU,1602624264
Port Hedland,-20.32,118.57,69.8,88,0,5.59,AU,1602624265
Mahébourg,-20.41,57.7,75.2,78,75,11.41,MU,1602624265
Karlskrona,56.16,15.59,44.6,87,100,10.29,SE,1602624265
Yangi Marg`ilon,40.43,71.72,50.0,66,0,4.7,UZ,1602624265
Saint George,37.1,-113.58,81.0,13,1,3.51,US,1602624060
Bluff,-46.6,168.33,48.0,64,98,11.99,NZ,1602624266
Martapura,-3.42,114.85,77.0,94,100,2.24,ID,1602624266
Lujiang,31.26,117.28,59.0,77,0,6.71,CN,1602624089
Cairns,-16.92,145.77,73.2,83,40,11.41,AU,1602624267
Saint-Philippe,-21.36,55.77,68.7,73,75,4.7,RE,1602624267
Airai,-8.93,125.41,60.19,47,7,3.33,TL,1602624267
Nikolskoye,59.7,30.79,42.85,93,46,2.24,RU,1602624267
San Pedro de Ycuamandiyú,-24.09,-57.08,96.89,28,100,3.22,PY,1602624268
Butaritari,3.07,172.79,81.79,73,65,20.29,KI,1602624268
Tuy Hoa,13.08,109.3,75.9,89,94,4.9,VN,1602624268
Whitehorse,60.72,-135.05,34.93,74,75,6.93,CA,1602624078
Beloha,-25.17,45.05,67.12,82,77,8.59,MG,1602624268
Santa Maria,-29.68,-53.81,69.26,61,0,2.93,BR,1602624269
Grindavik,63.84,-22.43,46.4,100,90,28.86,IS,1602624269
Vestmannaeyjar,63.44,-20.27,48.81,86,100,24.09,IS,1602624269
Esperance,-33.87,121.9,62.6,77,89,13.87,AU,1602624269
Ellsworth,44.54,-68.42,50.92,93,90,9.17,US,1602624269
Qaanaaq,77.48,-69.36,22.66,80,0,6.17,GL,1602624270
Mataura,-46.19,168.86,48.0,64,78,11.99,NZ,1602624270
Hong Kong,22.29,114.16,75.4,82,100,1.99,HK,1602624080
Marawi,8.0,124.29,73.99,92,86,5.99,PH,1602624271
Bredasdorp,-34.53,20.04,46.4,87,0,3.36,ZA,1602624271
Yellowknife,62.46,-114.35,27.81,50,75,21.92,CA,1602624271
Mokhsogollokh,61.47,128.92,15.87,96,99,6.49,RU,1602624271
Batticaloa,7.71,81.69,79.02,68,89,7.34,LK,1602624271
São João da Barra,-21.64,-41.05,75.2,78,50,20.8,BR,1602624272
Vila Velha,-20.33,-40.29,76.3,88,90,5.82,BR,1602624272
Okha,53.57,142.95,34.27,84,0,13.8,RU,1602624272
Arraial do Cabo,-22.97,-42.03,75.2,78,0,21.92,BR,1602624272
Felipe Carrillo Puerto,19.58,-88.05,83.28,91,100,4.32,MX,1602624272
Galle,6.04,80.22,79.81,82,84,17.98,LK,1602624273
Belém de São Francisco,-8.75,-38.97,88.18,23,6,15.99,BR,1602624273
Hithadhoo,-0.6,73.08,82.47,73,100,10.4,MV,1602624273
Geraldton,-28.77,114.6,62.6,88,90,1.12,AU,1602624094
Rikitea,-23.12,-134.97,73.02,74,0,13.91,PF,1602624261
Tateyama,34.98,139.87,68.31,75,16,1.99,JP,1602624274
Sambava,-14.27,50.17,73.11,86,3,8.48,MG,1602624274
Yarmouth,41.71,-70.23,62.44,100,90,9.17,US,1602624249
Marsh Harbour,26.54,-77.06,82.81,66,100,12.57,BS,1602624275
Cidreira,-30.18,-50.21,61.86,81,2,7.05,BR,1602624275
Chokurdakh,70.63,147.92,16.14,95,88,3.13,RU,1602624275
Mildura,-34.2,142.15,57.11,87,0,4.81,AU,1602624061
Poirino,44.92,7.85,49.66,57,50,0.74,IT,1602624276
Jamestown,42.1,-79.24,55.47,58,1,10.29,US,1602624276
Uribia,11.71,-72.27,87.24,66,100,13.89,CO,1602624276
